traditional,simplified,zhuyin,pinyin,translations,classifiers,class,level
首長,首长,ㄕㄡˇ ㄓㄤˇ,shǒu zhǎng,senior official,,N,Level 5/6
受害,受害,ㄕㄡˋ ㄏㄞˋ,shòu hài,"to suffer damage, injury etc / damaged / injured / killed / robbed",,Vp,Level 5/6
受訓,受训,ㄕㄡˋ ㄒㄩㄣˋ,shòu xùn,to receive training,,V-sep,Level 5/6
售貨員,售货员,ㄕㄡˋ ㄏㄨㄛˋ ㄩㄢˊ,shòu huò yuán,salesperson,個|个,N,Level 5/6
授課,授课,ㄕㄡˋ ㄎㄜˋ,shòu kè,to teach / to give lessons,,V-sep,Level 5/6
狩獵,狩猎,ㄕㄡˋ ㄌㄧㄝˋ,shòu liè,to hunt / hunting,,V,Level 5/6
壽星,寿星,ㄕㄡˋ ㄒㄧㄥ,shòu xīng,god of longevity / elderly person whose birthday is being celebrated,,N,Level 5/6
疏導,疏导,ㄕㄨ ㄉㄠˇ,shū dǎo,to dredge / to open up a path for / to remove obstructions / to clear the way / to enlighten / persuasion,,V,Level 5/6
疏散,疏散,ㄕㄨ ㄙㄢˋ,shū sàn,to scatter / to disperse / to evacuate / scattered / to relax,,V,Level 5/6
梳,梳,ㄕㄨ,shū,a comb / to comb,,V,Level 5/6
書本,书本,ㄕㄨ ㄅㄣˇ,shū běn,book,本|本,N,Level 5/6
書面,书面,ㄕㄨ ㄇㄧㄢˋ,shū miàn,in writing / written,,N,Level 5/6
書寫,书写,ㄕㄨ ㄒㄧㄝˇ,shū xiě,to write,,V,Level 5/6
舒暢,舒畅,ㄕㄨ ㄔㄤˋ,shū chàng,happy / entirely free from worry,,Vs,Level 5/6
舒展,舒展,ㄕㄨ ㄓㄢˇ,shū zhǎn,to roll out / to extend / to smooth out / to unfold,,V,Level 5/6
輸血,输血,ㄕㄨ ㄒㄧㄝˇ,shū xiě,to transfuse blood / to give aid and support,,V-sep,Level 5/6
束縛,束缚,ㄕㄨˋ ㄈㄨˊ,shù fú,to bind / to restrict / to tie / to commit / fetters,,V,Level 5/6
樹苗,树苗,ㄕㄨˋ ㄇㄧㄠˊ,shù miáo,sapling,,N,Level 5/6
數據,数据,ㄕㄨˋ ㄐㄩˋ,shù jù,data / numbers / digital,,N,Level 5/6
率,率,ㄕㄨㄞˋ,shuài,to lead / to command / rash / hasty / frank / straightforward / generally / usually,,V,Level 5/6
霜,霜,ㄕㄨㄤ,shuāng,frost / white powder or cream spread over a surface / frosting / (skin) cream,,N,Level 5/6
雙重,双重,ㄕㄨㄤ ㄔㄨㄥˊ,shuāng chóng,double,,Vs-attr,Level 5/6
雙打,双打,ㄕㄨㄤ ㄉㄚˇ,shuāng dǎ,doubles (in sports),場|场,N,Level 5/6
爽快,爽快,ㄕㄨㄤˇ ㄎㄨㄞˋ,shuǎng kuài,refreshed / rejuvenated / frank and straightforward,,Vs,Level 5/6
水道,水道,ㄕㄨㄟˇ ㄉㄠˋ,shuǐ dào,aqueduct / sewer,,N,Level 5/6
水稻,水稻,ㄕㄨㄟˇ ㄉㄠˋ,shuǐ dào,rice / paddy,株|株,N,Level 5/6
水晶,水晶,ㄕㄨㄟˇ ㄐㄧㄥ,shuǐ jīng,crystal,,N,Level 5/6
水庫,水库,ㄕㄨㄟˇ ㄎㄨˋ,shuǐ kù,reservoir,座|座,N,Level 5/6
水力,水力,ㄕㄨㄟˇ ㄌㄧˋ,shuǐ lì,hydraulic power,,N,Level 5/6
水泥,水泥,ㄕㄨㄟˇ ㄋㄧˊ,shuǐ ní,cement,袋|袋,N,Level 5/6
水源,水源,ㄕㄨㄟˇ ㄩㄢˊ,shuǐ yuán,water source / water supply / headwaters of a river,,N,Level 5/6
水蒸氣,水蒸气,ㄕㄨㄟˇ ㄓㄥ ㄑㄧˋ,shuǐ zhēng qì,vapor,,N,Level 5/6
睡眠,睡眠,ㄕㄨㄟˋ ㄇㄧㄢˊ,shuì mián,sleep / to sleep / (computing) to enter sleep mode,,N,Level 5/6
順從,顺从,ㄕㄨㄣˋ ㄘㄨㄥˊ,shùn cóng,obedient / to comply / to submit / to defer,,Vs,Level 5/6
順應,顺应,ㄕㄨㄣˋ ㄧㄥˋ,shùn yìng,to comply / to conform to / in tune with / adapting to / to adjust to,,Vst,Level 5/6
瞬間,瞬间,ㄕㄨㄣˋ ㄐㄧㄢ,shùn jiān,in an instant / in a flash,,N,Level 5/6
說謊,说谎,ㄕㄨㄛ ㄏㄨㄤˇ,shuō huǎng,to lie / to tell an untruth,,V-sep,Level 5/6
說笑,说笑,ㄕㄨㄛ ㄒㄧㄠˋ,shuō xiào,to chat and laugh / to crack jokes / to banter,,Vi,Level 5/6
思潮,思潮,ㄙ ㄔㄠˊ,sī cháo,tide of thought / way of thinking characteristic of a historical period / Zeitgeist,,N,Level 5/6
思念,思念,ㄙ ㄋㄧㄢˋ,sī niàn,to think of / to long for / to miss,,Vst,Level 5/6
思維,思维,ㄙ ㄨㄟˊ,sī wéi,(line of) thought / thinking,,N,Level 5/6
絲毫,丝毫,ㄙ ㄏㄠˊ,sī háo,the slightest amount or degree / a bit,,Det,Level 5/6
司令,司令,ㄙ ㄌㄧㄥˋ,sī lìng,commanding officer,,N,Level 5/6
斯文,斯文,ㄙ ㄨㄣˊ,sī wén,refined / educate / cultured / intellectual / polite / gentle,,Vs,Level 5/6
私心,私心,ㄙ ㄒㄧㄣ,sī xīn,selfishness / selfish motives,,N,Level 5/6
賜,赐,ㄙˋ,sì,to confer / to bestow / to grant,,V,Level 5/6
似的,似的,ㄙˋ ㄉㄜ˙,sì de,seems as if / rather like / Taiwan pr. [si4 de5],,Phrase,Level 5/6
似地,似地,ㄙˋ ㄉㄜ˙,sì de,seems as if / rather like / Taiwan pr. [si4 de5],,Phrase,Level 5/6
松樹,松树,ㄙㄨㄥ ㄕㄨˋ,sōng shù,pine / pine tree,棵|棵,N,Level 5/6
慫恿,怂恿,ㄙㄨㄥˇ ㄩㄥˇ,sǒng yǒng,to instigate / to incite / to egg sb on,,V,Level 5/6
搜集,搜集,ㄙㄡ ㄐㄧˊ,sōu jí,to gather / to collect,,V,Level 5/6
俗稱,俗称,ㄙㄨˊ ㄔㄥ,sú chēng,commonly referred to as / common term,,Vst,Level 5/6
俗語,俗语,ㄙㄨˊ ㄩˇ,sú yǔ,common saying / proverb / colloquial speech,,N,Level 5/6
塑膠,塑胶,ㄙㄨˋ ㄐㄧㄠ,sù jiāo,plastic / synthetic resin / plastic cement,,N,Level 5/6
訴苦,诉苦,ㄙㄨˋ ㄎㄨˇ,sù kǔ,to grumble / to complain / grievance,,Vi,Level 5/6
素食,素食,ㄙㄨˋ ㄕˊ,sù shí,vegetables / vegetarian food,,N,Level 5/6
素質,素质,ㄙㄨˋ ㄓˊ,sù zhí,inner quality / basic essence,,N,Level 5/6
算命,算命,ㄙㄨㄢˋ ㄇㄧㄥˋ,suàn mìng,fortune-telling / to tell fortune,,V-sep,Level 5/6
算術,算术,ㄙㄨㄢˋ ㄕㄨˋ,suàn shù,arithmetic / sums (mathematics as primary school subject),,N,Level 5/6
雖說,虽说,ㄙㄨㄟ ㄕㄨㄛ,suī shuō,though / although,,Conj,Level 5/6
隨,随,ㄙㄨㄟˊ,suí,to follow / to comply with / varying according to... / to allow / subsequently,,Adv,Level 5/6
隨,随,ㄙㄨㄟˊ,suí,to follow / to comply with / varying according to... / to allow / subsequently,,Prep,Level 5/6
隨後,随后,ㄙㄨㄟˊ ㄏㄡˋ,suí hòu,soon after,,N,Level 5/6
隨即,随即,ㄙㄨㄟˊ ㄐㄧˊ,suí jí,immediately / presently / following which,,Adv,Level 5/6
隨身,随身,ㄙㄨㄟˊ ㄕㄣ,suí shēn,to (carry) on one's person / to (take) with one,,Adv,Level 5/6
隨同,随同,ㄙㄨㄟˊ ㄊㄨㄥˊ,suí tóng,accompanying,,Prep,Level 5/6
隧道,隧道,ㄙㄨㄟˋ ㄉㄠˋ,suì dào,tunnel,,N,Level 5/6
歲月,岁月,ㄙㄨㄟˋ ㄩㄝˋ,suì yuè,years / time,,N,Level 5/6
損,损,ㄙㄨㄣˇ,sǔn,to decrease / to lose / to damage / to harm / (coll.) to speak sarcastically / to deride / caustic / mean / one of the 64 hexagrams of the Book of Changes (䷨),,V,Level 5/6
損害,损害,ㄙㄨㄣˇ ㄏㄞˋ,sǔn hài,harm / to damage / to impair,,V,Level 5/6
損壞,损坏,ㄙㄨㄣˇ ㄏㄨㄞˋ,sǔn huài,to damage / to injure,,V,Level 5/6
損傷,损伤,ㄙㄨㄣˇ ㄕㄤ,sǔn shāng,to harm / to damage / to injure / impairment / loss / disability,,Vst,Level 5/6
縮小,缩小,ㄙㄨㄛ ㄒㄧㄠˇ,suō xiǎo,to reduce / to decrease / to shrink,,Vp,Level 5/6
所得,所得,ㄙㄨㄛˇ ㄉㄜˊ,suǒ dé,what one acquires / one's gains,,N,Level 5/6
所在,所在,ㄙㄨㄛˇ ㄗㄞˋ,suǒ zài,place / location / (after a noun) place where it is located,,N,Level 5/6
索賠,索赔,ㄙㄨㄛˇ ㄆㄟˊ,suǒ péi,to ask for compensation / to claim damages / claim for damages,,Vi,Level 5/6
瑣碎,琐碎,ㄙㄨㄛˇ ㄙㄨㄟˋ,suǒ suì,trifling / trivial / tedious / inconsequential,,Vs,Level 5/6
牠,牠,ㄊㄚ,tā,it (used for animals),,N,Level 5/6
他人,他人,ㄊㄚ ㄖㄣˊ,tā rén,another / sb else / other people,,N,Level 5/6
塔,塔,ㄊㄚˇ,tǎ,pagoda / tower / minaret / stupa (abbr. loanword from Sanskrit tapo),座|座,N,Level 5/6
踏實,踏实,ㄊㄚˋ ㄕˊ,tà shí,firmly-based / steady / steadfast / to have peace of mind / free from anxiety / Taiwan pr. [ta4 shi2],,Vs,Level 5/6
台,台,ㄊㄞˊ,tái,(classical) you (in letters) / variant of 臺|台[tai2],,M,Level 5/6
台階,台阶,ㄊㄞˊ ㄐㄧㄝ,tái jiē,step (of a stair),,N,Level 5/6
太極拳,太极拳,ㄊㄞˋ ㄐㄧˊ ㄑㄩㄢˊ,tài jí quán,"shadowboxing or Taiji, T'aichi or T'aichichuan / traditional form of physical exercise or relaxation / a martial art",,N,Level 5/6
太平,太平,ㄊㄞˋ ㄆㄧㄥˊ,tài píng,peace and security,,Vs,Level 5/6
態勢,态势,ㄊㄞˋ ㄕˋ,tài shì,posture / situation,,N,Level 5/6
貪,贪,ㄊㄢ,tān,to have a voracious desire for / to covet / greedy / corrupt,,Vs,Level 5/6
貪心,贪心,ㄊㄢ ㄒㄧㄣ,tān xīn,greedy,,Vs,Level 5/6
攤位,摊位,ㄊㄢ ㄨㄟˋ,tān wèi,vendor's booth,,N,Level 5/6
痰,痰,ㄊㄢˊ,tán,phlegm / spittle,,N,Level 5/6
談論,谈论,ㄊㄢˊ ㄌㄨㄣˋ,tán lùn,to discuss / to talk about,,V,Level 5/6
彈性,弹性,ㄊㄢˊ ㄒㄧㄥˋ,tán xìng,flexibility / elasticity,,N,Level 5/6
坦克,坦克,ㄊㄢˇ ㄎㄜˋ,tǎn kè,tank (military vehicle) (loanword),,N,Level 5/6
坦然,坦然,ㄊㄢˇ ㄖㄢˊ,tǎn rán,calm / undisturbed,,Vs,Level 5/6
探病,探病,ㄊㄢˋ ㄅㄧㄥˋ,tàn bìng,to visit a sick person or patient,,V-sep,Level 5/6
探究,探究,ㄊㄢˋ ㄐㄧㄡˋ,tàn jiù,to investigate / to delve / to probe / to enquire into / to look into,,V,Level 5/6
探索,探索,ㄊㄢˋ ㄙㄨㄛˇ,tàn suǒ,to explore / to probe,,V,Level 5/6
探望,探望,ㄊㄢˋ ㄨㄤˋ,tàn wàng,to visit / to call on sb / to look around,,V,Level 5/6
探險,探险,ㄊㄢˋ ㄒㄧㄢˇ,tàn xiǎn,to explore / to go on an expedition / adventure,,Vi,Level 5/6
湯圓,汤圆,ㄊㄤ ㄩㄢˊ,tāng yuán,"boiled balls of glutinous rice flour, eaten during the Lantern Festival",,N,Level 5/6
堂堂,堂堂,ㄊㄤˊ ㄊㄤˊ,táng táng,grand / magnificent / stately / majestic appearance,,Vs,Level 5/6
倘若,倘若,ㄊㄤˇ ㄖㄨㄛˋ,tǎng ruò,provided that / supposing that / if,,Conj,Level 5/6
陶器,陶器,ㄊㄠˊ ㄑㄧˋ,táo qì,pottery,,N,Level 5/6
逃生,逃生,ㄊㄠˊ ㄕㄥ,táo shēng,to flee for one's life,,Vi,Level 5/6
逃稅,逃税,ㄊㄠˊ ㄕㄨㄟˋ,táo shuì,to evade a tax,,V-sep,Level 5/6
淘汰,淘汰,ㄊㄠˊ ㄊㄞˋ,táo tài,to wash out / elimination (by selection) / natural selection / to knock out (in a competition) / to die out / to phase out,,V,Level 5/6
套房,套房,ㄊㄠˋ ㄈㄤˊ,tào fáng,suite / apartment / flat,,N,Level 5/6
套裝,套装,ㄊㄠˋ ㄓㄨㄤ,tào zhuāng,outfit or suit (of clothes) / set of coordinated items / kit,,N,Level 5/6
特此,特此,ㄊㄜˋ ㄘˇ,tè cǐ,hereby,,Adv,Level 5/6
特區,特区,ㄊㄜˋ ㄑㄩ,tè qū,special administrative region / abbr. for 特別行政區|特别行政区,,N,Level 5/6
特權,特权,ㄊㄜˋ ㄑㄩㄢˊ,tè quán,prerogative / privilege / privileged,,N,Level 5/6
特約,特约,ㄊㄜˋ ㄩㄝ,tè yuē,specially engaged / employed or commissioned for a special task,,Vs-attr,Level 5/6
特徵,特征,ㄊㄜˋ ㄓㄥ,tè zhēng,characteristic / diagnostic property / distinctive feature / trait,,N,Level 5/6
疼愛,疼爱,ㄊㄥˊ ㄞˋ,téng ài,to love dearly,,Vst,Level 5/6
剔除,剔除,ㄊㄧ ㄔㄨˊ,tī chú,to reject / to discard / to get rid of,,V,Level 5/6
啼,啼,ㄊㄧˊ,tí,to cry / to weep aloud / to crow / to hoot,,Vi,Level 5/6
提拔,提拔,ㄊㄧˊ ㄅㄚˊ,tí bá,to promote to a higher job / to select for promotion,,V,Level 5/6
提倡,提倡,ㄊㄧˊ ㄔㄤˋ,tí chàng,to promote / to advocate,,V,Level 5/6
提出,提出,ㄊㄧˊ ㄔㄨ,tí chū,to raise (an issue) / to propose / to put forward / to suggest / to post (on a website) / to withdraw (cash),,Vpt,Level 5/6
提及,提及,ㄊㄧˊ ㄐㄧˊ,tí jí,to mention / to raise (a subject) / to bring to sb's attention,,V,Level 5/6
提名,提名,ㄊㄧˊ ㄇㄧㄥˊ,tí míng,to nominate,,V,Level 5/6
提升,提升,ㄊㄧˊ ㄕㄥ,tí shēng,to promote / to upgrade,,V,Level 5/6
提議,提议,ㄊㄧˊ ㄧˋ,tí yì,proposal / suggestion / to propose / to suggest,,V,Level 5/6
體操,体操,ㄊㄧˇ ㄘㄠ,tǐ cāo,gymnastic / gymnastics,,N,Level 5/6
體格,体格,ㄊㄧˇ ㄍㄜˊ,tǐ gé,bodily health / one's physical state / physique,,N,Level 5/6
體積,体积,ㄊㄧˇ ㄐㄧ,tǐ jī,volume / bulk,個|个,N,Level 5/6
體諒,体谅,ㄊㄧˇ ㄌㄧㄤˋ,tǐ liàng,to empathize / to allow (for sth) / to show understanding / to appreciate,,Vst,Level 5/6
體面,体面,ㄊㄧˇ ㄇㄧㄢˋ,tǐ miàn,"dignity / face (as in ""losing face"") / honorable / creditable / (of sb's appearance) presentable / respectable",,Vs,Level 5/6
體系,体系,ㄊㄧˇ ㄒㄧˋ,tǐ xì,system / setup,個|个,N,Level 5/6
體質,体质,ㄊㄧˇ ㄓˊ,tǐ zhí,constitution,,N,Level 5/6
替代,替代,ㄊㄧˋ ㄉㄞˋ,tì dài,to substitute for / to replace / to supersede,,Vst,Level 5/6
添,添,ㄊㄧㄢ,tiān,to add / to increase / to replenish,,V,Level 5/6
天敵,天敌,ㄊㄧㄢ ㄉㄧˊ,tiān dí,predator / natural enemy,,N,Level 5/6
天然氣,天然气,ㄊㄧㄢ ㄖㄢˊ ㄑㄧˋ,tiān rán qì,natural gas,,N,Level 5/6
天性,天性,ㄊㄧㄢ ㄒㄧㄥˋ,tiān xìng,nature / innate tendency,,N,Level 5/6
天災,天灾,ㄊㄧㄢ ㄗㄞ,tiān zāi,natural disaster,,N,Level 5/6
田地,田地,ㄊㄧㄢˊ ㄉㄧˋ,tián dì,field / farmland / cropland / plight / extent,,N,Level 5/6
田徑,田径,ㄊㄧㄢˊ ㄐㄧㄥˋ,tián jìng,track and field (athletics),,N,Level 5/6
甜美,甜美,ㄊㄧㄢˊ ㄇㄟˇ,tián měi,sweet / pleasant / happy,,Vs,Level 5/6
挑剔,挑剔,ㄊㄧㄠ ㄊㄧ,tiāo tī,picky / fussy,,V,Level 5/6
調和,调和,ㄊㄧㄠˊ ㄏㄜˊ,tiáo hé,harmonious / to mediate / to reconcile / to compromise / mediation / to mix / to blend / blended / to season / seasoning / to placate,,V,Level 5/6
調和,调和,ㄊㄧㄠˊ ㄏㄜˊ,tiáo hé,harmonious / to mediate / to reconcile / to compromise / mediation / to mix / to blend / blended / to season / seasoning / to placate,,Vs,Level 5/6
調節,调节,ㄊㄧㄠˊ ㄐㄧㄝˊ,tiáo jié,to adjust / to regulate / to harmonize / to reconcile (accountancy etc),,V,Level 5/6
調皮,调皮,ㄊㄧㄠˊ ㄆㄧˊ,tiáo pí,naughty / mischievous / unruly,,Vs,Level 5/6
條例,条例,ㄊㄧㄠˊ ㄌㄧˋ,tiáo lì,regulations / rules / code of conduct / ordinances / statutes,,N,Level 5/6
挑戰,挑战,ㄊㄧㄠˇ ㄓㄢˋ,tiǎo zhàn,to challenge / challenge,,N,Level 5/6
聽寫,听写,ㄊㄧㄥ ㄒㄧㄝˇ,tīng xiě,(of a pupil) to write down (in a dictation exercise) / dictation / (music) to transcribe by ear,,V,Level 5/6
停頓,停顿,ㄊㄧㄥˊ ㄉㄨㄣˋ,tíng dùn,to halt / to break off / pause (in speech),,Vi,Level 5/6
停留,停留,ㄊㄧㄥˊ ㄌㄧㄡˊ,tíng liú,to stay somewhere temporarily / to stop over,,Vi,Level 5/6
停滯,停滞,ㄊㄧㄥˊ ㄓˋ,tíng zhì,stagnation / at a standstill / bogged down,,Vi,Level 5/6
通,通,ㄊㄨㄥ,tōng,"classifier for an activity, taken in its entirety (tirade of abuse, stint of music playing, bout of drinking etc)",,M,Level 5/6
通報,通报,ㄊㄨㄥ ㄅㄠˋ,tōng bào,to inform / to notify / to announce / circular / bulletin / (scientific) journal,,V,Level 5/6
通車,通车,ㄊㄨㄥ ㄔㄜ,tōng chē,"to open to traffic (e.g. new bridge, rail line etc) / (of a locality) to have a transportation service / (Tw) to commute",,Vp,Level 5/6
通稱,通称,ㄊㄨㄥ ㄔㄥ,tōng chēng,to be generally referred to (as) / generic term,,Vst,Level 5/6
通貨膨脹,通货膨胀,ㄊㄨㄥ ㄏㄨㄛˋ ㄆㄥˊ ㄓㄤˋ,tōng huò péng zhàng,inflation,,Vs,Level 5/6
通緝,通缉,ㄊㄨㄥ ㄑㄧˋ,tōng qì,to order the arrest of sb as criminal / to list as wanted,,V,Level 5/6
通行,通行,ㄊㄨㄥ ㄒㄧㄥˊ,tōng xíng,to go through / to pass through / to be in general use,,Vi,Level 5/6
通用,通用,ㄊㄨㄥ ㄩㄥˋ,tōng yòng,"to use anywhere, anytime (card, ticket etc) / to be used by everyone (language, textbook etc) / (of two or more things) interchangeable",,Vs-attr,Level 5/6
同伴,同伴,ㄊㄨㄥˊ ㄅㄢˋ,tóng bàn,companion / comrade / fellow,,N,Level 5/6
同化,同化,ㄊㄨㄥˊ ㄏㄨㄚˋ,tóng huà,"assimilation (cultural, digestive, phonemic etc)",,V,Level 5/6
同鄉,同乡,ㄊㄨㄥˊ ㄒㄧㄤ,tóng xiāng,"person from the same village, town, or province",,N,Level 5/6
同心,同心,ㄊㄨㄥˊ ㄒㄧㄣ,tóng xīn,to be of one mind / united / concentric,,Vs,Level 5/6
同性戀,同性恋,ㄊㄨㄥˊ ㄒㄧㄥˋ ㄌㄧㄢˋ,tóng xìng liàn,homosexuality / gay person / gay love,,N,Level 5/6
同業,同业,ㄊㄨㄥˊ ㄧㄝˋ,tóng yè,same trade or business / person in the same trade or business,,N,Level 5/6
統計,统计,ㄊㄨㄥˇ ㄐㄧˋ,tǒng jì,statistics / to count / to add up,,N,Level 5/6
統統,统统,ㄊㄨㄥˇ ㄊㄨㄥˇ,tǒng tǒng,totally,,Adv,Level 5/6
統制,统制,ㄊㄨㄥˇ ㄓˋ,tǒng zhì,to control,,V,Level 5/6
痛恨,痛恨,ㄊㄨㄥˋ ㄏㄣˋ,tòng hèn,to detest / to loathe / to abhor,,Vst,Level 5/6
偷渡,偷渡,ㄊㄡ ㄉㄨˋ,tōu dù,illegal immigration / to stowaway (on a ship) / to steal across the international border / to run a blockade,,Vi,Level 5/6
偷懶,偷懒,ㄊㄡ ㄌㄢˇ,tōu lǎn,to goof off / to be lazy,,Vs,Level 5/6
投保,投保,ㄊㄡˊ ㄅㄠˇ,tóu bǎo,to take out insurance / to insure,,V,Level 5/6
投機,投机,ㄊㄡˊ ㄐㄧ,tóu jī,to speculate (on financial markets) / opportunistic / congenial / agreeable,,Vs,Level 5/6
投入,投入,ㄊㄡˊ ㄖㄨˋ,tóu rù,to throw into / to put into / to throw oneself into / to participate in / to invest in / absorbed / engrossed,,Vs,Level 5/6
透明,透明,ㄊㄡˋ ㄇㄧㄥˊ,tòu míng,transparent / open (non-secretive),,Vs,Level 5/6
徒弟,徒弟,ㄊㄨˊ ㄉㄧˋ,tú dì,apprentice / disciple,,N,Level 5/6
突擊,突击,ㄊㄨˊ ㄐㄧˊ,tú jí,sudden and violent attack / assault / fig. rushed job / concentrated effort to finish a job quickly,,V,Level 5/6
突兀,突兀,ㄊㄨˊ ㄨˋ,tú wù,lofty or towering / sudden or abrupt,,Vs,Level 5/6
塗,涂,ㄊㄨˊ,tú,to apply (paint etc) / to smear / to daub / to blot out / to scribble / to scrawl / (literary) mud / street,,V,Level 5/6
圖,图,ㄊㄨˊ,tú,diagram / picture / drawing / chart / map / to plan / to scheme / to attempt / to pursue / to seek,張|张,V,Level 5/6
圖表,图表,ㄊㄨˊ ㄅㄧㄠˇ,tú biǎo,chart / diagram,,N,Level 5/6
圖畫,图画,ㄊㄨˊ ㄏㄨㄚˋ,tú huà,drawing / picture,,N,Level 5/6
圖騰,图腾,ㄊㄨˊ ㄊㄥˊ,tú téng,totem (loanword),,N,Level 5/6
土壤,土壤,ㄊㄨˇ ㄖㄤˇ,tǔ rǎng,soil,,N,Level 5/6
團,团,ㄊㄨㄢˊ,tuán,"round / lump / ball / to roll into a ball / to gather / regiment / group / society / classifier for a lump or a soft mass: wad (of paper), ball (of wool), cloud (of smoke)",,M,Level 5/6
團聚,团聚,ㄊㄨㄢˊ ㄐㄩˋ,tuán jù,to reunite / to have a reunion,,Vs,Level 5/6
團員,团员,ㄊㄨㄢˊ ㄩㄢˊ,tuán yuán,member / group member,,N,Level 5/6
推測,推测,ㄊㄨㄟ ㄘㄜˋ,tuī cè,speculation / to conjecture / to surmise / to speculate,,V,Level 5/6
推崇,推崇,ㄊㄨㄟ ㄔㄨㄥˊ,tuī chóng,to esteem / to think highly of / to accord importance to / to revere,,Vst,Level 5/6
推出,推出,ㄊㄨㄟ ㄔㄨ,tuī chū,to push out / to release / to launch / to publish / to recommend,,Vpt,Level 5/6
推選,推选,ㄊㄨㄟ ㄒㄩㄢˇ,tuī xuǎn,to elect / to choose / to nominate,,V,Level 5/6
退化,退化,ㄊㄨㄟˋ ㄏㄨㄚˋ,tuì huà,to degenerate / atrophy,,Vp,Level 5/6
吞吞吐吐,吞吞吐吐,ㄊㄨㄣ ㄊㄨㄣ ㄊㄨˇ ㄊㄨˇ,tūn tūn tǔ tǔ,"to hum and haw (idiom); to mumble as if hiding sth / to speak and break off, then start again / to hold sth back",,Vi,Level 5/6
托,托,ㄊㄨㄛ,tuō,prop / support (for weight) / rest (e.g. arm rest) / thanks to / to hold in one's hand / to support in one's palm / to give / to base / to commit / to set / torr (unit of pressure),,V,Level 5/6
拖,拖,ㄊㄨㄛ,tuō,to drag / to tow / to trail / to hang down / to mop (the floor) / to delay / to drag on,,V,Level 5/6
拖累,拖累,ㄊㄨㄛ ㄌㄟˋ,tuō lèi,to encumber / to be a burden on / to implicate,,V,Level 5/6
拖延,拖延,ㄊㄨㄛ ㄧㄢˊ,tuō yán,to delay / to put off / to procrastinate,,Vst,Level 5/6
脫身,脱身,ㄊㄨㄛ ㄕㄣ,tuō shēn,to get away / to escape (from obligations) / to free oneself / to disengage,,Vp,Level 5/6
脫手,脱手,ㄊㄨㄛ ㄕㄡˇ,tuō shǒu,(not of regular commerce) to sell or dispose of (goods etc) / to get rid of / to unload,,Vp,Level 5/6
瓦斯,瓦斯,ㄨㄚˇ ㄙ,wǎ sī,gas (loanword),,N,Level 5/6
外表,外表,ㄨㄞˋ ㄅㄧㄠˇ,wài biǎo,external / outside / outward appearance,,N,Level 5/6
外號,外号,ㄨㄞˋ ㄏㄠˋ,wài hào,nickname,,N,Level 5/6
外力,外力,ㄨㄞˋ ㄌㄧˋ,wài lì,external force / pressure from outside,,N,Level 5/6
外貿,外贸,ㄨㄞˋ ㄇㄠˋ,wài mào,foreign trade,,N,Level 5/6
外線,外线,ㄨㄞˋ ㄒㄧㄢˋ,wài xiàn,(military) line of troops encircling an enemy position / (telephony) outside line / (basketball) outside the three-point line,,N,Level 5/6
外銷,外销,ㄨㄞˋ ㄒㄧㄠ,wài xiāo,to export / to sell abroad,,V,Level 5/6
外遇,外遇,ㄨㄞˋ ㄩˋ,wài yù,extramarital affair,,N,Level 5/6
外在,外在,ㄨㄞˋ ㄗㄞˋ,wài zài,external / extrinsic,,N,Level 5/6
外資,外资,ㄨㄞˋ ㄗ,wài zī,foreign investment,,N,Level 5/6
外祖父,外祖父,ㄨㄞˋ ㄗㄨˇ ㄈㄨˋ,wài zǔ fù,maternal grandfather (i.e. mother's father),,N,Level 5/6
外祖母,外祖母,ㄨㄞˋ ㄗㄨˇ ㄇㄨˇ,wài zǔ mǔ,mother's mother / maternal grandmother,,N,Level 5/6
彎曲,弯曲,ㄨㄢ ㄑㄩ,wān qū,to bend / to curve around / curved / crooked / to wind / to warp,,Vs,Level 5/6
完備,完备,ㄨㄢˊ ㄅㄟˋ,wán bèi,faultless / complete / perfect / to leave nothing to be desired,,Vs,Level 5/6
